node,Region,Planner
DNK8,NorthEast,Vijay
DJZ2,NorthEast,Vijay
DNJ3,NorthEast,Vijay
DYN9,NorthEast,Vijay
DYO2,NorthEast,Vijay
DYY5,NorthEast,Vijay
DYY8,NorthEast,Vijay
DAE1,NorthEast,Vijay
DDP7,NorthEast,Vijay
DJE9,NorthEast,Vijay
DNJ4,NorthEast,Vijay
DNK2,NorthEast,Vijay
DAB4,NorthEast,Vijay
DBU1,NorthEast,Vijay
DBU2,NorthEast,Vijay
DBU7,NorthEast,Vijay
DBU9,NorthEast,Vijay
DRO2,NorthEast,Vijay
DSE8,NorthWest,Eklavya
DSK4,NorthWest,Eklavya
DWA2,NorthWest,Eklavya
DWA5,NorthWest,Eklavya
DWA6,NorthWest,Eklavya
DWA9,NorthWest,Eklavya
DWS4,NorthWest,Eklavya
DSW3,NorthWest,Eklavya
DCS3,NorthWest,Eklavya
DDE8,NorthWest,Eklavya
DDE9,NorthWest,Eklavya
DDV2,NorthWest,Eklavya
DDV3,NorthWest,Eklavya
DDV4,NorthWest,Eklavya
DDV5,NorthWest,Eklavya
DPD5,NorthWest,Eklavya
DPD2,NorthWest,Eklavya
DPD4,NorthWest,Eklavya
DPD6,NorthWest,Eklavya
DPD7,NorthWest,Eklavya
DPD8,NorthWest,Eklavya
DSW5,NorthWest,Eklavya
DWA7,NorthWest,Eklavya
DID2,NorthWest,Eklavya
DID3,NorthWest,Eklavya
DUT2,NorthWest,Eklavya
DUT3,NorthWest,Eklavya
DUT4,NorthWest,Eklavya
DUT7,NorthWest,Eklavya
DSF6,SouthWest,Eklavya
DAZ9,SouthWest,Eklavya
DPX8,SouthWest,Eklavya
DPX4,SouthWest,Eklavya
DPX7,SouthWest,Eklavya
DTU2,SouthWest,Eklavya
DTU3,SouthWest,Eklavya
DTU8,SouthWest,Eklavya
DTU9,SouthWest,Eklavya
DAZ4,SouthWest,Eklavya
DAZ2,SouthWest,Eklavya
DLV2,SouthWest,Eklavya
DLV3,SouthWest,Eklavya
DLV4,SouthWest,Eklavya
DLV7,SouthWest,Eklavya
DTU6,SouthWest,Eklavya
DTU7,SouthWest,Eklavya
DCX5,SouthWest,Eklavya
DJC5,SouthWest,Eklavya
DSF7,SouthWest,Eklavya
DSJ5,SouthWest,Eklavya
DUR3,SouthWest,Eklavya
DXC8,SouthWest,Eklavya
DCW8,SouthWest,Eklavya
DCX1,SouthWest,Eklavya
DCX2,SouthWest,Eklavya
DFX4,SouthWest,Eklavya
DIB6,SouthWest,Eklavya
DJT6,SouthWest,Eklavya
DJW8,SouthWest,Eklavya
DLX8,SouthWest,Eklavya
DAX7,SouthWest,Eklavya
DCX7,SouthWest,Eklavya
DDO6,SouthWest,Eklavya
DLA8,SouthWest,Eklavya
DLX5,SouthWest,Eklavya
DLX9,SouthWest,Eklavya
DCK6,SouthWest,Eklavya
DFA5,SouthWest,Eklavya
DSF5,SouthWest,Eklavya
DSF8,SouthWest,Eklavya
DSJ9,SouthWest,Eklavya
DXC5,SouthWest,Eklavya
DAX5,SouthWest,Eklavya
DCX8,SouthWest,Eklavya
DFX9,SouthWest,Eklavya
DLX7,SouthWest,Eklavya
DPS1,SouthWest,Eklavya
DXC3,SouthWest,Eklavya
DHI2,SouthWest,Eklavya
DCK1,SouthWest,Eklavya
DFO2,SouthWest,Eklavya
DFO3,SouthWest,Eklavya
DFO9,SouthWest,Eklavya
DSM4,SouthWest,Eklavya
DSR2,SouthWest,Eklavya
DSR4,SouthWest,Eklavya
DSR6,SouthWest,Eklavya
DIB5,SouthWest,Eklavya
DSD1,SouthWest,Eklavya
DSD3,SouthWest,Eklavya
DSD4,SouthWest,Eklavya
DSD5,SouthWest,Eklavya
DSD8,SouthWest,Eklavya
DUR9,SouthWest,Eklavya
DIB7,SouthWest,Eklavya
DAX3,SouthWest,Eklavya
DAX8,SouthWest,Eklavya
DOT4,SouthWest,Eklavya
DPS2,SouthWest,Eklavya
DPS5,SouthWest,Eklavya
DPS6,SouthWest,Eklavya
DUR1,SouthWest,Eklavya
DAU1,Texas,Noor
DAU2,Texas,Noor
DAU5,Texas,Noor
DAU7,Texas,Noor
DSX5,Texas,Noor
DSX7,Texas,Noor
DSX8,Texas,Noor
DSX9,Texas,Noor
DDF6,Texas,Noor
DHX5,Texas,Noor
DDA8,Texas,Noor
DDA9,Texas,Noor
DDF1,Texas,Noor
DDF2,Texas,Noor
DDF4,Texas,Noor
DDF5,Texas,Noor
DDX7,Texas,Noor
DDX2,Texas,Noor
DDX6,Texas,Noor
DOK3,Texas,Noor
DOK4,Texas,Noor
DHO3,Texas,Noor
DHO7,Texas,Noor
DHO8,Texas,Noor
DHT1,Texas,Noor
DHX1,Texas,Noor
DHX3,Texas,Noor
DHX4,Texas,Noor
DHT4,Texas,Noor
DOK2,Texas,Noor
DOK6,Texas,Noor
DSE1,NorthWest,Eklavya
DSW2,NorthWest,Eklavya
DZY2,NorthWest,Eklavya
DYN3,NorthEast,Vijay
XNK2,NorthEast,Vijay
